v8-version,6,1,534,50,0
code-creation,Builtin,5,7759,0x31830b353440,134,"ObjectPrototypeGetProto"
code-creation,Builtin,5,7766,0x31830b3534e0,134,"ObjectPrototypeSetProto"
code-creation,Builtin,5,7773,0x31830b353580,134,"FunctionConstructor"
code-creation,Builtin,5,7780,0x31830b353620,160,"FunctionPrototypeApply"
code-creation,Builtin,5,7787,0x31830b3536c0,1392,"CallWithArrayLike"
code-creation,Builtin,5,7794,0x31830b353c40,177,"CallVarargs"
code-creation,Builtin,5,7801,0x31830b353d00,964,"FastFunctionPrototypeBind"
code-creation,Builtin,5,7809,0x31830b3540e0,134,"FunctionPrototypeBind"
code-creation,Builtin,5,7816,0x31830b354180,143,"FunctionPrototypeCall"
code-creation,Builtin,5,7823,0x31830b354220,134,"FunctionPrototypeToString"
code-creation,Builtin,5,7830,0x31830b3542c0,355,"FunctionPrototypeHasInstance"
code-creation,Builtin,5,7837,0x31830b354440,143,"AsyncIteratorValueUnwrap"
code-creation,Builtin,5,7847,0x31830b3544e0,1160,"AsyncGeneratorAwaitCaught"
code-creation,Builtin,5,7872,0x31830b354980,1136,"AsyncGeneratorAwaitUncaught"
tick,0x7fff7fdb5592,7893,0,0x0,4
code-creation,Builtin,5,7919,0x31830b354e00,251,"AsyncGeneratorAwaitResolveClosure"
code-creation,Builtin,5,7929,0x31830b354f00,259,"AsyncGeneratorAwaitRejectClosure"
code-creation,Builtin,5,7936,0x31830b355020,116,"ArrayCode"
code-creation,Builtin,5,7943,0x31830b3550a0,203,"ArrayIsArray"
code-creation,Builtin,5,7950,0x31830b355180,134,"ArrayConcat"
code-creation,Builtin,5,7957,0x31830b355220,763,"FastArrayPop"
code-creation,Builtin,5,7973,0x31830b355520,134,"ArrayPop"
code-creation,Builtin,5,7980,0x31830b3555c0,2660,"FastArrayPush"
code-creation,Builtin,5,7987,0x31830b356040,134,"ArrayPush"
code-creation,Builtin,5,7994,0x31830b3560e0,1176,"FastArrayShift"
code-creation,Builtin,5,8001,0x31830b356580,134,"ArrayShift"
code-creation,Builtin,5,8008,0x31830b356620,134,"ArrayUnshift"
code-creation,Builtin,5,8015,0x31830b3566c0,134,"ArraySlice"
code-creation,Builtin,5,8023,0x31830b356760,134,"ArraySplice"
code-creation,Builtin,5,8030,0x31830b356800,1556,"ArrayIncludes"
code-creation,Builtin,5,8037,0x31830b356e20,1292,"ArrayIndexOf"
code-creation,Builtin,5,8044,0x31830b357340,502,"ArrayPrototypeKeys"
code-creation,Builtin,5,8051,0x31830b357540,646,"ArrayPrototypeEntries"
code-creation,Builtin,5,8059,0x31830b3577e0,646,"ArrayPrototypeValues"
code-creation,Builtin,5,8066,0x31830b357a80,1685,"ArrayForEach"
code-creation,Builtin,5,8073,0x31830b358120,666,"ToLength"
code-creation,Builtin,5,8080,0x31830b3583c0,365,"NonNumberToNumber"
code-creation,Builtin,5,8087,0x31830b358540,298,"NonPrimitiveToPrimitive_Number"
code-creation,Builtin,5,8094,0x31830b358680,2832,"ArrayForEachLoopContinuation"
code-creation,Builtin,5,8101,0x31830b3591a0,6170,"ArrayFilter"
code-creation,Builtin,5,8108,0x31830b35a9c0,4860,"ArrayFilterLoopContinuation"
